page_path,impressions_90d,clicks_90d,ctr_now,position,dominant_query,dominant_query_impressions,query_2,query_3,title_before,title_after,title_after_len,description_before,description_after,description_after_len,geo_token_used,rationale
"/blog/mosquito-larvae-identification","70071","223","0.32%","8.6","mosquito larvae","37257","what does mosquito larvae look like (3,237)","what do mosquito larvae look like (3,008)","Mosquito Larvae or Look-Alike? How to Kill Them","Mosquito Larvae: What They Look Like & Kill Them","48","Mosquito larvae hang head-down and dart in an S-shape when disturbed. Tell them apart from midge, mayfly and crane fly larvae, then drain or treat with BTI.","Mosquito larvae hang head-down and wriggle in an S-shape when disturbed. Tell them from midge, mayfly and crane fly larvae, then drain or treat with BTI.","153","none","Head term 'mosquito larvae' (37K impr, pos 9.7, 0.08% CTR) sits behind an image pack; the two 'what do/does mosquito larvae look like' queries (6.2K impr, pos 6.5-7.2) are where the click is winnable, and neither phrase was in the old title. New title = head term + the exact 'what they look like' phrasing + the kill intent. Universal biology, so no geo. Title is 48 exactly; the preferred '& How to Kill' ending is 50 and was rejected on length."
"/blog/why-do-mosquito-bites-itch","65234","193","0.30%","7.0","how long do mosquito bites last","9958","how long does a mosquito bite last (1,910)","how long do mosquito bites itch (1,401)","How Long Do Mosquito Bites Last? Full Timeline","How Long Do Mosquito Bites Last & Itch? Timeline","48","How long do mosquito bites last? Most fade in 3-7 days, but the delayed reaction peaks at 24-48 hours. Stage-by-stage timeline and why night is worse.","How long do mosquito bites last? Most fade in 3-7 days, but the itch peaks at 24-48 hours and is worse at night. Day-by-day timeline, stage by stage.","149","none","Old title ALREADY led with the dominant query (9,958 impr) and still measured 0.13% on it, so the residual gap is mostly SERP features (health AIO/PAA), not mismatch. The change is small on purpose: adds 'itch' to also match the 1,845-impr 'how long do mosquito bites itch / are mosquito bites itchy' cluster (pos 9.7-9.9, 0 clicks) and the page's own topic. Universal fact, no geo. Expect a modest lift, not 3%."
"/blog/how-long-do-ticks-live","32313","74","0.23%","7.8","how long to ticks live","3653","how long can ticks live in a house (1,679)","how long do ticks live (976)","How Long Do Ticks Live? 2–3 Years in Ontario","How Long Do Ticks Live? Indoors & Without a Host","48","Ticks live 2–3 years outdoors but only days in dry indoor air, so they can’t infest a home. Why a frost doesn’t kill them all, and how long they stay on a dog.","How long do ticks live? 2-3 years outdoors, months without a host in cool humid cover, but only days in dry indoor air. Why a frost doesn't kill them.","150","none (dropped Ontario)","Old title already led with the query. What it missed: the two sub-intents that make up most of the page's demand, 'in a house' (1,679 impr) and 'without a host' (~2,560 impr across 4 phrasings, pos 9-11, 6 clicks). Both are now in the title. The top query is the typo 'how long to ticks live' (3,653 impr, 0 clicks); Google already maps it here, no need to echo the typo. Tick lifespan is universal, and the '2-3 years' figure moved to the description, so the Ontario token was dropped to make room."
"/blog/thermacell-canada-where-to-buy","27407","48","0.18%","8.8","thermacell canadian tire","11410","canadian tire thermacell (3,244)","thermacell canada (494)","Thermacell Canada: Which Model & Where to Buy","Where to Buy Thermacell in Canada & Which Model","47","Which Thermacell models sell in Canada (Patio Shield, E55, E90, EX90), which retailers stock what, which refills fit, and the model Thermacell keeps US-only.","Where to buy Thermacell in Canada: which chains stock the Patio Shield, E55, E90 and EX90, which refills fit each, and the model Thermacell keeps US-only.","154","Canada","Per brief: do NOT chase 'thermacell canadian tire' (11.4K impr, 0.08%) - that click belongs to canadiantire.ca. Target the intent without the retailer: 'where to buy Thermacell in Canada' now leads the title instead of trailing it, and the model question stays as the second hook. Geo is inherent to the topic (Canadian retail availability, US-only Liv). The page's store-by-store table is what the description now promises."
"/blog/male-vs-female-mosquito","27253","34","0.12%","7.9","male vs female mosquito","2275","male mosquito vs female (1,793)","female mosquito (1,489)","Male vs Female Mosquito: Only Females Bite","Male vs Female Mosquito: How to Tell Them Apart","47","Only female mosquitoes bite — blood protein and iron build her eggs. Males feed on nectar and cannot pierce skin. Compare antennae, lifespan and behaviour.","Male vs female mosquito: only the female bites, using blood protein to build eggs; males live on nectar and can't pierce skin. Spot the feathery antennae.","154","none","Lowest CTR of the 14 (0.12%) on a title that already led with the exact query - so the hook was wrong, not the head term. 'Only females bite' is the AI-overview answer and gives the searcher no reason to click; the queries ('difference between...', 'female mosquito', 'male mosquito') are identification queries. 'How to tell them apart' promises the antennae/size comparison the page has. Universal biology, no geo."
"/blog/flea-bites-on-humans","23893","98","0.41%","8.5","what do flea bites look like","464","flea bites on humans (223)","what do flea bites look like on humans (217)","Flea Bites on Humans vs Bed Bug Bites (Canada)","What Do Flea Bites Look Like (vs Bed Bug Bites)?","48","What flea bites look like on humans — ankle clusters, red halos, instant itch — vs bed bug and mosquito bites, how long they last, whether fleas live on people, and how to clear a home infestation.","What do flea bites look like on humans? Clusters of small red bumps at the ankles, often with a red halo, itching within minutes. Flea vs bed bug bites.","152","none (dropped Canada)","Dominant phrasing is the question 'what do flea bites look like' (464 + 217 + 157 + 102 impr across variants) and the old title never used it. Bed-bug comparison stays as the differentiator (page mentions bed bugs 91 times). Flea bite appearance is universal, so the '(Canada)' token was dishonest and was dropped. Old description was 199 chars and was being truncated; new one is 155."
"/blog/ultrasonic-pest-repellers-do-they-work","23504","115","0.49%","7.4","do ultrasonic pest repellers work","729","does ultrasonic pest repeller work (197)","ultrasonic pest repeller do they work (143)","Do Ultrasonic Pest Repellers Work? Canada 2026","Do Ultrasonic Pest Repellers Work? No, and Why","46","No. The FTC warned 60+ companies in 2001, rodents habituate to the sound within days, and no Canadian regulator checks the box claims. What works instead.","Do ultrasonic pest repellers work? No. The FTC warned 60+ sellers in 2001, rodents habituate in days, no Canadian regulator checks the claims. What works.","154","none in title (Canadian regulator point stays in description)","Old title already led with the query; the '2026' broke the no-year rule (evergreen evidence page) and 'Canada' was welded onto a universal finding. The page's position is a flat 'No' (H1: 'The Evidence Says No'), so the title now states it and promises the why - the FTC/habituation facts are the click. Description now opens with the query phrase and keeps the 'what works instead' hook, which is where the page's affiliate links sit."
"/blog/how-long-does-mosquito-spray-last","20793","98","0.47%","6.0","how long does mosquito spray last","705","how long does mosquito fogging last (267)","how long does backyard mosquito protection last? (256)","How Long Does Mosquito Spray Last in Ontario?","How Long Does Mosquito Spray Last? Type by Type","47","How long does mosquito spray last? Barrier spray, foggers, DEET, citronella and dunks compared, with BuzzSkito plan schedules and GTA re-treat timing.","How long does mosquito spray last? Foggers fade in days, DEET in hours, citronella while it burns. Every type compared, plus Ontario re-treat timing.","149","Ontario moved from title to description (judgement call, see rationale)","Old title already had query + geo and measured 0.47% at pos 6.0, so a rewrite has to add a differentiator: the page's per-type duration table. 'in Ontario? + Type by Type' does not fit in 48, so geo moved to the description. This is a SERVICE page ($1,222 side) and geo-in-title is the measured lead lever - if the owner prefers to keep 'in Ontario' in the title, keep the old title and apply only the new description. Compliance: no duration is claimed for the professional barrier spray (page says 'renewed on your plan's schedule'); only the consumer-product figures the page already states are cited."
"/blog/deer-flies-horse-flies-ontario","20762","97","0.47%","6.7","deer fly vs horse fly","1904","deer fly (1,695)","horse fly vs deer fly (1,412)","Deer Fly vs Horse Fly in Ontario: Wings & Bites","Deer Fly vs Horse Fly: Tell Them Apart (Ontario)","48","Banded wings and patterned eyes settle it. What to look at on the fly, why the bite cuts and bleeds, and what cuts how many reach you in an Ontario yard.","Deer fly vs horse fly: banded wings and patterned eyes settle it. Why the bite cuts and bleeds, when each peaks in Ontario, and what keeps them off you.","152","Ontario","Old title already led with the query (1,904 + 1,412 + 694 + 455 + 317 impr across 'deer fly vs horse fly' phrasings). Comparison queries are 'tell them apart' intent, and 'Wings & Bites' read as a spec list; 'Tell Them Apart' names the job. Ontario kept: species mix and season are regional and the page is written for Ontario yards. Description now opens with the query phrase."
"/blog/can-ticks-fly-jump-swim","17331","41","0.24%","7.5","can ticks drown","1193","can ticks swim (1,190)","can ticks survive in water (476)","Can Ticks Swim or Drown? Ontario Myths vs Facts","Can Ticks Drown? How Long They Survive in Water","47","Can ticks swim or drown? No swimming legs, but a blacklegged tick survives 2-3 days underwater. Why a cold wash fails, and the 10-minute dryer fix.","Can ticks drown or swim? No swimming legs, but a blacklegged tick survives 2-3 days underwater, so a cold wash won't kill it. The 10-minute dryer fix does.","155","none (dropped Ontario)","Demand is a drowning/water-survival cluster: 'can ticks drown' 1,193, 'can ticks swim' 1,190, 'can ticks survive in water' 476, 'do ticks drown in water' 465, 'can ticks breathe underwater' 290. 'Drown' was second in the old title; it now leads, and 'how long they survive in water' matches the survive/underwater phrasings the old title ignored. 'Myths vs Facts' and the Ontario token were filler on a universal fact. Description still opens with both 'drown' and 'swim'."
